name,birth
Alexander Columb,Canada
Lorin Cook,Canada
Henry Corvin,"Nova Scotia, Canada"
Edward P. Collin,Canada
William Crandle,Canada
Jim Corey,Canada
Alpens Countryman,Canada
Benson Conley,Canada
Samuel Crane,Canada
Ira Cook,Canada
Charles N Crandell,Canada
John Copeland,Canada
Iophiel Couthu,Canada
Dauglass Cramer,Canada
Edward Connolly,Canada
Henry J Cool,Canada
Daniel Coyne,Canada
Patrick Craven,"Montreal, Canada"
Richard Collins,Canada
William Copeland,"Montreal, Canada"
Edmond Cordett,Canada
Narcisse Conturier,Canada
Remi Pvt Crappeau,Canada
Acton Cook,Canada
Edward Coulter,Canada
D D Corner,Canada
Henry Collins,Canada
Maurice Condon,Canada
George Cook,"Quebec, Canada"
George Collins,Canada
David T Compton,"St Johns, Canada"
Edward Costelo,Canada
Esdras W Couture,Canada
Alexander Constine,Canada
George Corless,Canada
Thomas Jame Congden,Canada
Edward M Cook,Canada
William Cowen,Canada
William Collon,Canada
Augustine Cote,Canada
Allen A Craig,Canada
James Connolly,Canada
Thos H Cooper,"Quebec, Canada"
John A Comyns,Canada
John Corrigan,Canada
Edward Conley,Canada
Walter Cones,Canada
Gabriel J Cornwall,Canada
Chas W Crandall,Canada
Lanty Conklin,"Duntonville, Canada"
William Cole,Canada
Rufus Cooele,Canada
William Corougoure,Canada
Coye,Canada
Noble Cole,Canada
John N Coleman,Canada
Charles A Collins,Canada
Henry Collins,"Merrickville, Canada"
Thomas Conklin,Canada
Christopher Conley,Canada
William Connett,Canada
Thomas Corman,Canada
Edward B Cook,Canada
Hippoli Corbeil,"Quebec, Canada"
George Cordon,Canada
Thomas Coyle,Canada
Robert Cowin,Canada
Camillius Cox,Canada
Camillus Cox,Canada
William Cotter,Canada
Joseph Couture,"Quebec, Canada"
Eldrof Coyer,Canada
Terance Comiskey,Canada
John Coriter,"Montreal, Canada"
Henry Collins,"New Brunswick, Canada"
Francis Cole,"Montreal, Canada"
James Cornett,Canada
Edmund Cole,Canada
James Connell,Canada
Fred Courteau,Canada
George W.  Pvt Colby,Canada
Thoams G Collins,Canada
John L Corbett,Canada
Eli Coyer,Canada
James Cole,Canada
Dieta Cole,Canada
Goseph L Comb,Canada
Albert J Collins,Canada
Lerris Conyean,Canada
Joseph Condon,Canada
Cyrus Cole,Canada
Horace Coleman,Canada
Jacob Cowet,Canada
James Crammond,Canada
Thomas Coles,Canada
John Coulter,"Montreal, Canada"
Gilbert Cook,Canada
James E Cole,Canada
John Cook,Canada
James Converse,Canada
John Cole,Canada
William Cornell,Canada
Charles Cole,Canada
George Cook,Canada
John W Cook,Canada
Enos Cole,Canada
A C Constantine,Canada
John Conway,"St. John, New Brunswick, Canada"
Alexander Crawford,Canada
William Cook,Canada
Lucius P Crawford,Canada
Hiram Cornwall,Canada
Charles Cornell,Canada
Jerry Conley,Canada
Joseph Collins,Canada
George Collins,Canada
Nelson Conrow,Canada
William H Cook,Canada
William H Cook,Canada
Francis Cote,Canada
Edgar B. Pvt Comstock,Canada
Gilbert Coolon,Canada
Osmore Cosorne,Canada
Prosper Compo,Canada
John Convay,Canada
Fruman Cox,Canada
John Condon,Canada
Abram Corey,Canada
